Value,Color
0,#000000
1,#010101
2,#020202
3,#030303
4,#040404
5,#050505
6,#060606
7,#070707
8,#080808
9,#090909
10,#0a0a0a
11,#0b0b0b
12,#0c0c0c
13,#0d0d0d
14,#0e0e0e
15,#0f0f0f
16,#101010
17,#111111
18,#121212
19,#131313
20,#141414
21,#151515
22,#161616
23,#171717
24,#181818
25,#191919
26,#1a1a1a
27,#1b1b1b
28,#1c1c1c
29,#1d1d1d
30,#1e1e1e
31,#1f1f1f
32,#202020
33,#212121
34,#222222
35,#232323
36,#242424
37,#252525
38,#262626
39,#272727
40,#282828
41,#292929
42,#2a2a2a
43,#2b2b2b
44,#2c2c2c
45,#2d2d2d
46,#2e2e2e
47,#2f2f2f
48,#303030
49,#313131
50,#323232
51,#333333
52,#343434
53,#353535
54,#363636
55,#373737
56,#383838
57,#393939
58,#3a3a3a
59,#3b3b3b
60,#3c3c3c
61,#3d3d3d
62,#3e3e3e
63,#3f3f3f
64,#404040
65,#414141
66,#424242
67,#434343
68,#444444
69,#454545
70,#464646
71,#474747
72,#484848
73,#494949
74,#4a4a4a
75,#4b4b4b
76,#4c4c4c
77,#4d4d4d
78,#4e4e4e
79,#4f4f4f
80,#505050
81,#515151
82,#525252
83,#535353
84,#545454
85,#555555
86,#565656
87,#575757
88,#585858
89,#595959
90,#5a5a5a
91,#5b5b5b
92,#5c5c5c
93,#5d5d5d
94,#5e5e5e
95,#5f5f5f
96,#606060
97,#616161
98,#626262
99,#636363
100,#646464
101,#656565
102,#666666
103,#676767
104,#686868
105,#696969
106,#6a6a6a
107,#6b6b6b
108,#6c6c6c
109,#6d6d6d
110,#6e6e6e
111,#6f6f6f
112,#707070
113,#717171
114,#727272
115,#737373
116,#747474
117,#757575
118,#767676
119,#777777
120,#787878
121,#797979
122,#7a7a7a
123,#7b7b7b
124,#7c7c7c
125,#7d7d7d
126,#7e7e7e
127,#7f7f7f
128,#808080
129,#818181
130,#828282
131,#838383
132,#848484
133,#858585
134,#868686
135,#878787
136,#888888
137,#898989
138,#8a8a8a
139,#8b8b8b
140,#8c8c8c
141,#8d8d8d
142,#8e8e8e
143,#8f8f8f
144,#909090
145,#919191
146,#929292
147,#939393
148,#949494
149,#959595
150,#969696
151,#979797
152,#989898
153,#999999
154,#9a9a9a
155,#9b9b9b
156,#9c9c9c
157,#9d9d9d
158,#9e9e9e
159,#9f9f9f
160,#a0a0a0
161,#a1a1a1
162,#a2a2a2
163,#a3a3a3
164,#a4a4a4
165,#a5a5a5
166,#a6a6a6
167,#a7a7a7
168,#a8a8a8
169,#a9a9a9
170,#aaaaaa
171,#ababab
172,#acacac
173,#adadad
174,#aeaeae
175,#afafaf
176,#b0b0b0
177,#b1b1b1
178,#b2b2b2
179,#b3b3b3
180,#b4b4b4
181,#b5b5b5
182,#b6b6b6
183,#b7b7b7
184,#b8b8b8
185,#b9b9b9
186,#bababa
187,#bbbbbb
188,#bcbcbc
189,#bdbdbd
190,#bebebe
191,#bfbfbf
192,#c0c0c0
193,#c1c1c1
194,#c2c2c2
195,#c3c3c3
196,#c4c4c4
197,#c5c5c5
198,#c6c6c6
199,#c7c7c7
200,#c8c8c8
201,#c9c9c9
202,#cacaca
203,#cbcbcb
204,#cccccc
205,#cdcdcd
206,#cecece
207,#cfcfcf
208,#d0d0d0
209,#d1d1d1
210,#d2d2d2
211,#d3d3d3
212,#d4d4d4
213,#d5d5d5
214,#d6d6d6
215,#d7d7d7
216,#d8d8d8
217,#d9d9d9
218,#dadada
219,#dbdbdb
220,#dcdcdc
221,#dddddd
222,#dedede
223,#dfdfdf
224,#e0e0e0
225,#e1e1e1
226,#e2e2e2
227,#e3e3e3
228,#e4e4e4
229,#e5e5e5
230,#e6e6e6
231,#e7e7e7
232,#e8e8e8
233,#e9e9e9
234,#eaeaea
235,#ebebeb
236,#ececec
237,#ededed
238,#eeeeee
239,#efefef
240,#f0f0f0
241,#f1f1f1
242,#f2f2f2
243,#f3f3f3
244,#f4f4f4
245,#f5f5f5
246,#f6f6f6
247,#f7f7f7
248,#f8f8f8
249,#f9f9f9
250,#fafafa
251,#fbfbfb
252,#fcfcfc
253,#fdfdfd
254,#fefefe
255,#ffffff
